epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7808,0.48058,4.09732,0.89948,0.00373,0.94444,0.16999,0.16299,0.33987,3.48619,0.7911,7.145e-05,7.145e-05,7.145e-05
2,56.9882,0.40592,3.51765,0.85281,0.004,1,0.40508,0.36508,0.38728,3.28434,0.80871,0.000141628,0.000141628,0.000141628
3,82.2027,0.41588,3.10789,0.8391,0.00396,1,0.36137,0.32634,0.4115,3.28824,0.80107,0.00019483,0.00019483,0.00019483
4,103.194,0.41757,2.76809,0.83586,0.00387,1,0.4711,0.44563,0.34405,3.25233,0.7996,0.000231055,0.000231055,0.000231055
5,124.487,0.4099,2.44563,0.85428,0.00382,1,0.46555,0.42799,0.40604,3.25466,0.81045,0.000250304,0.000250304,0.000250304
6,153.952,0.40896,2.27826,0.83592,0.00372,1,0.61886,0.56316,0.36285,3.25409,0.80269,0.000252576,0.000252576,0.000252576
7,186.198,0.40122,1.94092,0.8347,0.00366,1,0.77983,0.73096,0.34416,3.20189,0.81434,0.000237871,0.000237871,0.000237871
8,207.908,0.41165,1.87864,0.85561,0.00359,1,0.7851,0.71729,0.37117,3.1671,0.81847,0.00020619,0.00020619,0.00020619
9,229.056,0.37286,1.79554,0.8021,0.00353,1,0.93108,0.86348,0.35825,3.04659,0.82595,0.000157533,0.000157533,0.000157533
10,251.191,0.37004,1.6897,0.85082,0.41222,1,0.98233,0.92174,0.34581,2.91763,0.83013,9.1899e-05,9.1899e-05,9.1899e-05
