epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,728.8,1.04165,1.15858,1.46505,0.74985,0.71875,0.73354,0.47132,1.15786,1.61258,1.91193,0.000990365,0.000990365,0.000990365
43,744.408,0.95729,1.15649,1.4749,0.63503,0.76164,0.71664,0.4482,1.16956,1.62383,1.94074,0.000973861,0.000973861,0.000973861
44,759.358,1.03271,1.12867,1.44943,0.59519,0.73445,0.69039,0.38557,1.2963,1.83655,2.11129,0.000957358,0.000957358,0.000957358
45,774.309,1.05605,1.1879,1.50467,0.83831,0.70291,0.74791,0.43893,1.19634,1.70663,1.93902,0.000940855,0.000940855,0.000940855
46,794.03,0.97974,1.12873,1.45451,0.79911,0.7123,0.7525,0.50717,1.08957,1.55269,1.86356,0.000924352,0.000924352,0.000924352
47,815.441,0.94676,1.06789,1.39751,0.81497,0.75,0.77517,0.5266,1.02258,1.52396,1.79945,0.000907848,0.000907848,0.000907848
48,836.036,1.07232,1.07278,1.48439,0.80039,0.75,0.76742,0.55791,0.98354,1.58058,1.71243,0.000891345,0.000891345,0.000891345
49,858.741,1.00134,1.10247,1.54604,0.72989,0.71875,0.75503,0.51636,0.98944,1.64254,1.71614,0.000874842,0.000874842,0.000874842
50,882.962,1.04237,1.13702,1.46782,0.67991,0.64732,0.69986,0.47526,1.12156,1.66135,1.82257,0.000858338,0.000858338,0.000858338
51,904.044,1.01511,1.12035,1.45184,0.66804,0.45193,0.58896,0.34569,1.50299,2.26083,2.16231,0.000841835,0.000841835,0.000841835
52,928.374,1.04357,1.08409,1.4504,0.54318,0.37782,0.55198,0.29128,1.59113,2.86591,2.19426,0.000825332,0.000825332,0.000825332
53,947.485,1.03944,1.00205,1.48802,0.91215,0.34375,0.57636,0.33486,1.44978,2.86287,2.0602,0.000808828,0.000808828,0.000808828
54,961.872,1.00416,1.02766,1.41191,0.96426,0.406,0.67669,0.41539,1.2591,2.45771,1.98642,0.000792325,0.000792325,0.000792325
55,975.877,0.93278,1.16737,1.46963,0.7296,0.5566,0.6909,0.48311,1.06157,1.94866,1.8606,0.000775822,0.000775822,0.000775822
56,990.841,1.01996,1.05174,1.4363,0.63289,0.67857,0.73272,0.50878,1.03407,1.71104,1.81371,0.000759318,0.000759318,0.000759318
57,1005.7,1.00432,1.01018,1.46711,0.80128,0.71064,0.77555,0.52878,1.072,1.97214,1.8644,0.000742815,0.000742815,0.000742815
58,1021.7,0.96831,1.04878,1.42365,0.75799,0.58036,0.77611,0.47464,1.26584,2.31152,2.05294,0.000726312,0.000726312,0.000726312
59,1037.5,0.9964,1.18546,1.54914,0.75271,0.50508,0.79057,0.43619,1.43002,2.27933,2.2162,0.000709809,0.000709809,0.000709809
60,1054.6,0.94854,1.00148,1.47489,0.82238,0.51825,0.7947,0.47577,1.27229,2.01573,2.06449,0.000693305,0.000693305,0.000693305
61,1074.72,0.89924,1.00267,1.31253,0.59499,0.75,0.78899,0.48591,1.27296,1.86681,2.0524,0.000676802,0.000676802,0.000676802
62,1093.14,0.94088,1.09604,1.45482,0.66712,0.67857,0.79303,0.5304,1.19654,1.69775,1.96358,0.000660299,0.000660299,0.000660299
63,1110.03,0.92696,0.93507,1.4304,0.85471,0.67346,0.79014,0.49328,1.23535,1.68443,1.99568,0.000643795,0.000643795,0.000643795
64,1127.01,1.01487,1.05237,1.42246,0.72221,0.73591,0.79184,0.50251,1.23423,1.5259,1.98075,0.000627292,0.000627292,0.000627292
65,1141.92,0.94842,1.01187,1.43854,0.77493,0.78571,0.77973,0.54737,1.10407,1.35043,1.8342,0.000610789,0.000610789,0.000610789
66,1158.22,1.01684,1.0937,1.51642,0.76396,0.78571,0.7997,0.55857,1.03182,1.40723,1.77268,0.000594286,0.000594286,0.000594286
67,1173.33,0.93543,0.96016,1.39419,0.82732,0.8091,0.82951,0.54575,1.03599,1.45908,1.8069,0.000577782,0.000577782,0.000577782
68,1195.04,0.97416,1.01884,1.53076,0.84488,0.75,0.81335,0.52567,1.05344,1.5874,1.85081,0.000561279,0.000561279,0.000561279
69,1212.06,0.89745,0.89317,1.34376,0.81833,0.75,0.79815,0.53184,1.1132,1.49647,1.89706,0.000544776,0.000544776,0.000544776
70,1230.21,1.00249,0.995,1.46297,0.72391,0.76227,0.78973,0.5428,1.10359,1.35239,1.83477,0.000528272,0.000528272,0.000528272
71,1250.51,0.94379,0.96346,1.40613,0.83954,0.74231,0.80123,0.54968,1.05326,1.27395,1.78003,0.000511769,0.000511769,0.000511769
