perimeter,area,height,width,shape_index,compactness,weight
351.6639951467514,8141.5,90,114,126.66666666666666,0.8272913431874848,58.0
362.97770297527313,8445.5,86,124,144.1860465116279,0.8055181572373249,56.0
359.07820749282837,8310.0,88,116,131.8181818181818,0.8099025954756868,54.0
362.59292674064636,8421.0,88,118,134.0909090909091,0.8048869307334688,58.0
356.9360718727112,8322.0,90,115,127.77777777777777,0.8208365677481368,58.0
356.7350620031357,8264.0,86,120,139.53488372093022,0.8160346119681596,56.0
358.4924213886261,8190.5,88,116,131.8181818181818,0.8008668559161722,58.0
346.00714099407196,7954.5,86,114,132.5581395348837,0.8349349219965272,54.0
350.83556723594666,8162.5,91,115,126.37362637362637,0.8333469074229454,56.0
357.9066358804703,8300.0,86,122,141.86046511627907,0.81423254109035,56.0
355.9066344499588,8303.0,91,116,127.47252747252746,0.8237069577557573,58.0
361.42135286331177,8302.0,89,116,130.3370786516854,0.7986655994038981,58.0
360.2497811317444,8324.0,89,118,132.58426966292134,0.8059989653307031,58.0
347.90663516521454,7962.0,88,113,128.4090909090909,0.8266213425813486,54.0
348.3502861261368,7820.5,90,111,123.33333333333334,0.8098639012195362,56.0
358.4924205541611,8237.5,88,116,131.8181818181818,0.8054625183226762,58.0
361.42135405540466,8413.0,88,119,135.22727272727272,0.8093439705445276,58.0
356.14927649497986,8072.5,87,115,132.183908045977,0.7997491457336346,54.0
359.07820761203766,8332.0,88,117,132.95454545454547,0.8120467413986587,56.0
355.1787133216858,8242.5,90,115,127.77777777777777,0.8210601242148312,60.0
351.6639943122864,8018.5,86,117,136.04651162790697,0.8147928105178177,54.0
349.66399586200714,8009.5,86,116,134.88372093023256,0.8232153071057792,56.0
352.83556747436523,7972.5,88,112,127.27272727272727,0.8047475751962396,56.0
369.2203438282013,8703.0,87,127,145.97701149425288,0.8022460782986413,56.0
353.5634888410568,8216.0,91,116,127.47252747252746,0.8259152272244873,58.0
362.9777022600174,8359.5,88,119,135.22727272727272,0.7973156192011541,58.0
356.7350630760193,8116.0,88,116,131.8181818181818,0.801420240911969,56.0
348.9360730648041,7820.0,87,110,126.4367816091954,0.8070954122788807,54.0
351.0782071352005,8055.0,89,115,129.21348314606743,0.8212354063265745,56.0
343.42135429382324,7742.0,87,111,127.58620689655173,0.8249135510465561,54.0
348.9360718727112,7817.0,87,113,129.8850574712644,0.8067857903954149,54.0
332.10764515399933,7270.0,88,105,119.31818181818181,0.8282978392684553,52.0
340.9360730648041,7486.0,86,108,125.5813953488372,0.809307896000253,52.0
341.5218600034714,7659.5,87,110,126.4367816091954,0.825226698817639,54.0
338.93607234954834,7659.0,86,112,130.2325581395349,0.8378115604068799,54.0
344.0071402788162,7778.5,87,114,131.0344827586207,0.8259824240573908,56.0
344.0071395635605,7735.5,87,114,131.0344827586207,0.8214163486360389,56.0
342.24978137016296,7870.0,85,114,134.1176470588235,0.8443028157062326,54.0
340.93607246875763,7504.0,203,250,123.15270935960592,0.8112538702672297,54.0
341.07820785045624,7679.0,87,111,127.58620689655173,0.8294812755818635,54.0
339.76449978351593,7509.0,85,109,128.23529411764707,0.8174025135695857,52.0
342.10764598846436,7637.0,86,111,129.06976744186048,0.8199872382764151,54.0
347.1787130832672,7767.5,86,112,130.2325581395349,0.8098133798653243,54.0
341.6639938354492,7595.5,86,112,130.2325581395349,0.8176506864292529,52.0
333.906635761261,7583.0,89,108,121.34831460674158,0.8546746448274802,54.0
337.4213536977768,7331.0,86,107,124.4186046511628,0.8091479844566819,50.0
355.1787140369415,8087.5,86,117,136.04651162790697,0.8056201065020319,56.0
330.59292685985565,7396.0,87,107,122.98850574712642,0.8503929509200218,54.0
339.0782080888748,7750.0,87,114,131.0344827586207,0.8470553849784288,54.0
341.52185893058777,7507.5,83,110,132.53012048192772,0.8088503793065853,52.0
346.0071394443512,7705.5,87,111,127.58620689655173,0.8087989313061371,54.0
342.10764515399933,7503.0,85,110,129.41176470588235,0.805599617493976,52.0
