perimeter,area,height,width,shape_index,compactness,weight,longer_semi_major,shorter_semi_major,semi_major_axis_ratio,d1,d2,d3,d4
18.8391425971474,436.15178571428567,4.821428571428571,6.107142857142857,126.66666666666666,15.442771739499712,58.0,4.258928571428571,0.5625000000000002,0.13207547169811326,3.5095485886073727,0.7823322209597247,0.7823322209597247,3.5095485886073727
19.44523408796105,452.4375,4.607142857142857,6.642857142857142,144.18604651162792,15.036338935096737,56.0,4.473214285714286,0.13392857142857117,0.029940119760478986,3.771273523860809,0.18924981296005347,0.18924981296005347,3.771273523860809
19.236332544258666,445.1785714285714,4.714285714285714,6.2142857142857135,131.81818181818178,15.118181782212812,54.0,4.285714285714285,0.42857142857142927,0.10000000000000019,3.5575607152853452,0.6004070726354893,0.6004070726354893,3.5575607152853452
19.424621075391773,451.125,4.714285714285714,6.321428571428571,134.0909090909091,15.02455604035808,58.0,4.339285714285714,0.3750000000000002,0.0864197530864198,3.613059782378601,0.5266364620616435,0.5266364620616435,3.613059782378601
19.12157527889524,445.82142857142856,4.821428571428571,6.160714285714286,127.7777777777778,15.322282597965224,58.0,4.285714285714286,0.5357142857142854,0.12499999999999992,3.5373686348023226,0.7464106207903817,0.7464106207903817,3.5373686348023226
19.110806893025124,442.71428571428567,4.607142857142857,6.428571428571428,139.53488372093022,15.232646090072317,56.0,4.366071428571429,0.24107142857142838,0.05521472392638032,3.6606600408054235,0.339971654354467,0.339971654354467,3.6606600408054235
19.20495114581925,438.77678571428567,4.714285714285714,6.2142857142857135,131.81818181818178,14.949514643768548,58.0,4.285714285714285,0.42857142857142927,0.10000000000000019,3.5575607152853452,0.6004070726354893,0.6004070726354893,3.5575607152853452
18.53609683896814,426.13392857142856,4.607142857142857,6.107142857142857,132.55813953488374,15.585451877268504,54.0,4.205357142857142,0.40178571428571397,0.09554140127388529,3.4943715666206776,0.5633550446903547,0.5633550446903547,3.4943715666206776
18.79476253049714,437.27678571428567,4.875,6.160714285714286,126.37362637362637,15.555808938561643,56.0,4.299107142857142,0.5758928571428572,0.13395638629283493,3.541122454265302,0.800564688552496,0.800564688552496,3.541122454265302
19.173569779310903,444.6428571428571,4.607142857142857,6.535714285714286,141.86046511627907,15.199007433686536,56.0,4.419642857142857,0.1875,0.04242424242424243,3.7159900357914046,0.2647296393670696,0.2647296393670696,3.7159900357914046
19.066426845533503,444.8035714285714,4.875,6.2142857142857135,127.47252747252746,15.375863211440803,58.0,4.325892857142857,0.549107142857143,0.1269349845201239,3.568946388778336,0.7647051628988418,0.7647051628988418,3.568946388778336
19.361858189105988,444.75,4.767857142857142,6.2142857142857135,130.3370786516854,14.908424522206095,58.0,4.299107142857142,0.4687499999999998,0.10903426791277254,3.5613792548913836,0.6554952461256507,0.6554952461256507,3.5613792548913836
19.29909541777202,445.9285714285714,4.767857142857142,6.321428571428571,132.58426966292137,15.045314019506458,58.0,4.352678571428571,0.4151785714285712,0.09538461538461533,3.616913690601222,0.5821503241495506,0.5821503241495506,3.616913690601222
18.63785545527935,426.5357142857143,4.714285714285714,6.053571428571428,128.4090909090909,15.430265061518508,54.0,4.205357142857142,0.5089285714285718,0.12101910828025489,3.4742097955390125,0.7097704450068925,0.7097704450068925,3.4742097955390125
18.66162247104304,418.9553571428571,4.821428571428571,5.946428571428571,123.33333333333334,15.117459489431344,56.0,4.178571428571429,0.6428571428571426,0.15384615384615377,3.425999910309427,0.888603665670411,0.888603665670411,3.425999910309427
19.20495110111577,441.2946428571428,4.714285714285714,6.2142857142857135,131.81818181818178,15.035300342023293,58.0,4.285714285714285,0.42857142857142927,0.10000000000000019,3.5575607152853452,0.6004070726354893,0.6004070726354893,3.5575607152853452
19.36185825296811,450.69642857142856,4.714285714285714,6.375,135.22727272727272,15.107754116831178,58.0,4.366071428571429,0.3482142857142856,0.07975460122699383,3.6407896729937788,0.4895369169496051,0.4895369169496051,3.6407896729937788
19.079425526516776,432.4553571428571,4.660714285714286,6.160714285714286,132.183908045977,14.928650720361183,54.0,4.245535714285714,0.4151785714285714,0.09779179810725551,3.5259668459616806,0.5818895499828278,0.5818895499828278,3.5259668459616806
19.236332550644875,446.3571428571428,4.714285714285714,6.267857142857142,132.95454545454544,15.158205839441628,56.0,4.3125,0.40178571428571463,0.09316770186335412,3.5853168852554087,0.5635978804558662,0.5635978804558662,3.5853168852554087
19.0274310708046,441.5625,4.821428571428571,6.160714285714286,127.7777777777778,15.326455652010182,60.0,4.285714285714286,0.5357142857142854,0.12499999999999992,3.5373686348023226,0.7464106207903817,0.7464106207903817,3.5373686348023226
18.83914255244392,429.5625,4.607142857142857,6.267857142857142,136.04651162790697,15.209465796332596,54.0,4.285714285714286,0.3214285714285714,0.075,3.5775736793935664,0.4521964506688184,0.4521964506688184,3.5775736793935664
18.73199977832181,429.0803571428571,4.607142857142857,6.2142857142857135,134.88372093023256,15.366685732641212,56.0,4.258928571428571,0.3482142857142858,0.0817610062893082,3.5498528561908644,0.48938574615299857,0.48938574615299857,3.5498528561908644
18.90190540041242,427.0982142857143,4.714285714285714,6.0,127.27272727272728,15.021954736996475,56.0,4.178571428571429,0.5357142857142858,0.12820512820512822,3.4463977232483307,0.7458165152454426,0.7458165152454426,3.4463977232483307
19.779661276510783,466.2321428571428,4.660714285714286,6.803571428571428,145.97701149425285,14.975260128241304,56.0,4.566964285714285,0.09375000000000044,0.02052785923753676,3.8581643156051113,0.1325322018208279,0.1325322018208279,3.8581643156051113
