epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6446,0.61955,3.52825,1.01155,0.0039,1,0.51989,0.47297,0.37643,3.32079,0.79793,7.145e-05,7.145e-05,7.145e-05
2,77.2824,0.5515,3.02776,0.96632,0.00411,1,0.49404,0.43051,0.49897,3.28725,0.81952,0.000155634,0.000155634,0.000155634
3,104.344,0.56503,2.59052,0.933,0.00453,1,0.47751,0.43163,0.39804,3.2544,0.81139,0.00023812,0.00023812,0.00023812
